"contrast","estimate","SE","df","z.ratio","p.value"
"2_4 - 6_3",1.20932081421989,0.294584266741504,Inf,4.10517787523617,0.00894626529138876
"2_4 - 6_4",1.1566806147165,0.290470499869216,Inf,3.98209324264357,0.0145035973186649
"3_1 - 3_2",-1.60710875016755,16.4199385394865,Inf,-0.0978754424873631,1
"3_1 - 3_3",0.275913026933761,0.300338759042623,Inf,0.91867272746707,0.999999757430737
"3_1 - 3_4",0.638295400365495,0.29367096012468,Inf,2.17350534112907,0.883587668688648
"3_1 - 4_1",0.812264876207557,0.296091877037086,Inf,2.74328659176902,0.48144983053313
"3_1 - 4_2",0.35850656310657,0.294325351226182,Inf,1.21806212619132,0.999953493612019
"3_1 - 4_3",0.934114344741313,0.296224467346469,Inf,3.15340036935152,0.205369382299189
"3_1 - 4_4",0.244614277642698,0.302800806796877,Inf,0.807838922988038,0.999999981590783
"3_1 - 5_1",0.809285721731607,0.293885561489337,Inf,2.75374440864109,0.473139861551527
"3_1 - 5_2",-1.44152510374976,7.28280992845317,Inf,-0.197935291173517,1
"3_1 - 5_3",1.39462003695201,0.3122711372187,Inf,4.46605488222014,0.00193341633959809
"3_1 - 5_4",0.270106607441985,0.298748770205737,Inf,0.904126257175796,0.999999822961383
"3_1 - 6_1",1.78769941644444,0.332677492182325,Inf,5.37367107319869,2.07110917689324e-05
"3_1 - 6_2",0.917999533277444,0.293400360239996,Inf,3.1288289234769,0.218179528826254
"3_1 - 6_3",1.31655426800244,0.30555307644195,Inf,4.30875801786458,0.00384795634201318
"3_1 - 6_4",1.26391406849905,0.301519211553201,Inf,4.19181936032638,0.00628911587855829
"3_2 - 3_3",1.88302177710131,16.4198760045002,Inf,0.114679415154245,1
"3_2 - 3_4",2.24540415053304,16.4201052076355,Inf,0.136747245047426,1
"3_2 - 4_1",2.41937362637511,16.4202202841531,Inf,0.14734111872482,1
"3_2 - 4_2",1.96561531327412,16.4198667999995,Inf,0.119709577258823,1
"3_2 - 4_3",2.54122309490886,16.4203326359229,Inf,0.15476075614628,1
